Spinel,MgFe1,MgFe2,MgFe3,MgFe4,MgFe5,MgFe6,MgFe7,MgFe8,MgFe9,MgFe10,MgFe11,MgAl1,MgAl2,MgAl3,MgAl4,MgAl5,MgAl6,MgAl7,MgAl8,MgAl9,MgAl10,MgAl11,FeAl1,FeAl2,FeAl3,FeAl4,FeAl5,FeAl6,FeAl7,FeAl8,FeAl9,FeAl10,FeAl11,Mg1,Mg2,Mg3,Mg4,Mg5,Mg6,Fe1,Fe2,Fe3,Fe4,Fe5,Fe6,Al1,Al2,Al3,Al4,Al5,Al6,energy
35,28,8,22,15,20,8,8,15,20,22,2,28,6,4,3,16,6,2,3,16,4,4,16,20,4,9,24,20,1,9,24,4,5,6,10,36,8,10,2,8,18,36,16,18,7,8,4,0,20,4,1,-376.51323
36,24,7,23,24,28,7,7,24,28,23,3,28,9,5,0,20,9,1,0,20,5,1,16,18,4,12,20,18,1,12,20,4,7,0,8,24,10,8,4,10,19,24,12,19,6,8,3,0,20,3,2,-376.54801
37,0,48,0,0,0,48,0,0,0,0,16,0,48,0,0,0,48,0,0,0,0,16,52,0,0,0,56,0,0,0,56,0,0,96,0,0,0,0,0,22,0,0,40,0,0,22,0,0,40,0,0,-381.22905
38,0,48,0,0,0,48,0,0,0,0,16,0,48,0,0,0,48,0,0,0,0,16,56,0,0,0,44,0,0,0,44,0,0,96,0,0,0,0,0,20,0,0,52,0,0,20,0,0,52,0,0,-381.37196
39,0,48,0,0,0,48,0,0,0,0,16,0,48,0,0,0,48,0,0,0,0,16,52,0,0,0,56,0,0,0,56,0,0,96,0,0,0,0,0,22,0,0,40,0,0,22,0,0,40,0,0,-381.22905
40,0,48,0,0,0,48,0,0,0,0,16,0,48,0,0,0,48,0,0,0,0,16,60,0,0,0,48,0,0,0,48,0,0,96,0,0,0,0,0,18,0,0,48,0,0,18,0,0,48,0,0,-381.30207
41,12,31,2,12,12,31,0,12,12,2,11,12,32,1,12,12,32,1,12,12,1,10,48,5,6,0,24,5,1,0,24,6,2,48,9,0,0,9,3,12,5,0,48,5,2,12,5,0,48,5,2,-380.74401
42,10,32,1,12,10,32,1,12,10,1,10,14,31,2,12,10,31,0,12,10,2,11,42,6,5,0,42,6,2,0,42,5,1,48,9,4,0,9,3,16,5,0,32,5,2,14,5,0,32,5,2,-380.56079
43,14,32,1,9,14,32,1,9,14,1,10,10,31,2,9,10,31,0,9,10,2,11,46,6,5,3,38,6,2,3,38,5,1,54,9,0,0,9,3,12,5,0,32,5,2,14,5,0,36,5,2,-380.76618
44,18,26,3,9,16,26,0,9,16,3,9,10,21,2,15,20,21,4,15,20,2,9,42,4,11,3,20,4,3,3,20,11,2,36,13,0,4,13,2,12,5,0,48,5,2,10,11,6,32,11,1,-380.22293
45,10,22,4,18,18,22,2,18,18,4,8,18,26,2,6,14,26,1,6,14,2,9,30,10,4,6,38,10,2,6,38,4,4,36,12,4,4,12,3,16,10,0,16,10,2,18,6,0,32,6,1,-380.31067
46,14,23,3,15,18,23,3,15,18,3,7,18,25,3,9,10,25,0,9,10,3,10,38,11,3,3,38,11,3,3,38,3,3,36,12,8,2,12,3,10,10,6,16,10,2,14,6,0,36,6,1,-380.52709
47,20,23,5,18,8,23,1,18,8,5,7,12,26,2,6,20,26,1,6,20,2,9,28,9,3,6,40,9,3,6,40,3,5,36,11,8,2,11,4,12,10,0,24,10,2,22,7,0,24,7,0,-380.67172
48,10,21,3,18,20,21,3,18,20,3,9,18,25,1,6,16,25,2,6,16,1,10,38,11,5,6,28,11,1,6,28,5,3,36,14,0,4,14,1,12,10,0,24,10,2,14,6,0,40,6,1,-380.23548
49,12,5,6,12,2,5,2,12,2,6,3,24,33,8,18,38,33,0,18,38,8,7,12,15,4,6,18,15,0,6,18,4,5,18,10,8,6,10,6,0,3,6,4,3,1,42,12,0,64,12,8,-387.98396
50,8,6,6,18,4,6,2,18,4,6,2,40,30,6,12,28,30,2,12,28,6,10,16,15,3,6,16,15,1,6,16,3,5,18,12,16,0,12,4,0,3,0,4,3,1,32,15,6,76,15,5,-388.27549
51,4,5,5,18,8,5,3,18,8,5,3,28,31,7,12,32,31,1,12,32,7,9,20,16,4,6,16,16,0,6,16,4,4,18,12,8,8,12,4,0,3,0,0,3,1,36,13,6,72,13,7,-387.67013
52,4,7,7,12,12,7,1,12,12,7,1,40,30,6,12,28,30,2,12,28,6,10,16,16,4,6,12,16,0,6,12,4,4,24,11,8,2,11,5,2,1,6,0,1,3,32,14,6,80,14,6,-388.28165
